,,LU0589470672,LU0376447578,LU0376446257,LU0471299072,LU1893597564,DK0060189041,DK0010264456,DK0060051282,LU0332084994,DK0016023229,DK0061553245,DK0016261910,DK0016262728,DK0016262058,DK0010106111,DK0060240687,DK0060005254,DK0010301324,DK0060300929,DK0060158160,LU1028171921,LU0230817339,DK0060815090,DK0061067220,DK0060498509,DK0060498269,DK0061134194,DK0016300403,DK0061150984,IE00B02KXK85,DE000A0Q4R36,IE00B27YCF74,IE00B1XNHC34,DE000A0H08H3,DE000A0Q4R28,IE00B0M63516,IE00B0M63623,IE00B5WHFQ43,DE000A0H08S0,IE00B42Z5J44,DE000A0H08Q4,IE00B5377D42,IE00B0M63391,IE00B2QWCY14,DK0061544178,DK0061544418
,,BGF World Energy A2 CHF Hedged,BGF Swiss Small & MidCap Opps I2,BGF Swiss Small & MidCap Opps A2,BGF Nutrition A4 EUR Hedged,BSF European Unconstrained Eq I2 PF EUR,BLS Invest Globale Aktier KL,Danske Invest Bioteknologi Indeks KL,Danske Invest Flexinv Korte Obl KL,Danske Invest Danish Mortgage Bd A SEK h,Danske Invest Teknologi Indeks KL,Wealth Invest HP Engros Korte Danske Obl,Jyske Invest Emerg Market Bonds EUR CL,Jyske Invest High Yield Corp Bond CL,Jyske Invest Stable Strategy EUR,Jyske Invest Korte Obligationer KL,LI Indeksobligationer Globale,Maj Invest Vækstaktier,Nordea Invest Global Stars KL 1,Nordea Invest Portefølje Fleksibel,Nykredit Alpha Mira,T. Rowe Price Eurp Smlr Cm Eq Q(GBP),T. Rowe Price Japanese Eq A,Sydinvest Virksomhedsobl HY W DKK dh,Wealth Invest AKL Afkast+ I,Formuepleje Fokus,Formuepleje Epikur,Lån & Spar Invest - Danske Akt Basis Akk,Sampension Invest GEM II,Wealth Invest HP Invest Korte Danske Obl,iShares China Large Cap ETF USD Dist,iShares STOXX Europe 600 HealthCare (DE),iShares Global Timber&Forestry ETF $ Dis,iShares Global Clean Engy Trns ETF $Dist,iShares STOXX Europe 600 Food&Bev (DE),iShares STOXX Europe 600 Auto&P (DE) dis,iShares MSCI Brazil ETF USD Dist,iShares MSCI Taiwan ETF USD Dist,iShares MSCI Mexico Capped ETF USD Acc,iShares STOXX Europe 600 Trav & Leis(DE),iShares MSCI Japan EUR Hedged ETF Acc,iShares STOXX Europe 600 Tech (DE) dis,iShares MSCI Australia ETF USD Acc,iShares MSCI Korea ETF USD Dist,iShares S&P SmallCap 600 ETF USD Dist,Nordea Invest Global Stars KL 2,Nordea Invest Globale Obligationer KL 2
LU0589470672,BGF World Energy A2 CHF Hedged,0.053408,0.040831,0.014951,0.017275,0.010092,0.015796,0.018956,0.000991,0.002484,0.000071,0.000104,0.005883,0.003977,0.004429,0.000098,0.000169,0.000016,0.019656,0.004079,0.002073,0.014979,0.015207,0.003458,0.014835,0.001359,0.016834,0.015527,-0.000856,0.000104,0.022594,0.013753,0.019617,0.019926,0.013611,0.024473,0.026721,0.017246,0.021356,0.015334,0.021578,0.016823,0.021005,0.016038,0.016704,0.019656,-0.000320
LU0376447578,BGF Swiss Small & MidCap Opps I2,0.040831,0.082099,0.014181,0.022979,0.011063,0.017584,0.018982,0.001044,0.004618,-0.000062,0.000057,0.009916,0.005360,0.006259,0.000118,0.000732,0.002011,0.022009,0.004132,0.000781,0.016450,0.017082,0.004816,0.023117,0.000360,0.016023,0.017952,-0.000819,0.000057,0.032437,0.012806,0.022612,0.025118,0.013472,0.034314,0.043368,0.019313,0.025662,0.017206,0.025169,0.019759,0.028672,0.024225,0.014957,0.022009,-0.001758
LU0376446257,BGF Swiss Small & MidCap Opps A2,0.014951,0.014181,0.016487,0.009444,0.010800,0.013068,0.019169,0.000517,0.002194,-0.000008,0.000097,0.003112,0.002701,0.003210,0.000022,-0.000369,-0.000936,0.012681,0.003346,0.000701,0.014295,0.012606,0.002637,0.009875,0.000677,0.013288,0.014806,-0.000351,0.000097,0.014568,0.013355,0.015008,0.015449,0.010402,0.019592,0.012016,0.011821,0.011457,0.015984,0.014204,0.017835,0.013856,0.012313,0.013083,0.012681,0.001143
LU0471299072,BGF Nutrition A4 EUR Hedged,0.017275,0.022979,0.009444,0.016294,0.006935,0.010443,0.011932,0.000445,0.001605,-0.000032,-0.000013,0.003629,0.002635,0.003272,-0.000037,-0.000389,-0.000836,0.011628,0.002381,0.000505,0.009455,0.009269,0.002489,0.011112,0.000042,0.009618,0.010239,-0.000864,-0.000013,0.013148,0.007797,0.012799,0.012324,0.008285,0.017983,0.015398,0.010074,0.012324,0.011224,0.015222,0.012709,0.013133,0.010301,0.010432,0.011628,-0.001314
LU1893597564,BSF European Unconstrained Eq I2 PF EUR,0.010092,0.011063,0.010800,0.006935,0.013444,0.011514,0.016729,0.000500,0.001888,0.000009,0.000039,0.002554,0.002220,0.002537,0.000002,-0.000357,-0.000927,0.010943,0.003169,0.000714,0.011672,0.010813,0.002209,0.008385,0.000625,0.011108,0.015329,-0.000298,0.000039,0.012266,0.012237,0.012516,0.013287,0.009395,0.015359,0.009176,0.009132,0.009592,0.012965,0.012660,0.014716,0.011186,0.009354,0.010384,0.010943,0.001319
DK0060189041,BLS Invest Globale Aktier KL,0.015796,0.017584,0.013068,0.010443,0.011514,0.018858,0.023167,0.000650,0.002484,0.000009,0.000059,0.003392,0.003383,0.003654,0.000010,-0.001099,-0.001379,0.016663,0.004709,0.000566,0.014757,0.016069,0.002894,0.013740,0.000848,0.017111,0.016067,-0.000421,0.000059,0.020572,0.014121,0.019192,0.019508,0.012370,0.022724,0.014788,0.015944,0.014978,0.017675,0.019351,0.018744,0.017472,0.015498,0.017179,0.016663,0.002012
DK0010264456,Danske Invest Bioteknologi Indeks KL,0.018956,0.018982,0.019169,0.011932,0.016729,0.023167,0.074505,0.000841,0.003915,-0.000003,0.000026,0.003240,0.004159,0.004578,0.000004,-0.001738,-0.000551,0.023799,0.007844,-0.000251,0.020600,0.022561,0.003285,0.015840,0.000918,0.026192,0.023467,-0.000261,0.000026,0.028335,0.028831,0.029514,0.029948,0.017813,0.030655,0.015956,0.021008,0.020801,0.026849,0.025461,0.027950,0.023800,0.019961,0.032178,0.023799,0.004551
DK0060051282,Danske Invest Flexinv Korte Obl KL,0.000991,0.001044,0.000517,0.000445,0.000500,0.000650,0.000841,0.000111,0.000174,0.000011,0.000030,0.000380,0.000302,0.000223,0.000033,0.000076,-0.000088,0.000705,0.000292,0.000198,0.000639,0.000637,0.000240,0.000702,0.000195,0.000763,0.000577,0.000054,0.000030,0.000854,0.000570,0.000797,0.000779,0.000443,0.000996,0.000773,0.000742,0.000776,0.000533,0.000770,0.000728,0.000771,0.000669,0.000566,0.000705,0.000068
LU0332084994,Danske Invest Danish Mortgage Bd A SEK h,0.002484,0.004618,0.002194,0.001605,0.001888,0.002484,0.003915,0.000174,0.003844,0.000021,0.000110,0.000995,0.000782,0.000931,0.000126,0.000605,0.000834,0.002655,0.001399,0.000510,0.002127,0.003236,0.000593,0.003047,0.000734,0.002945,0.002841,0.000411,0.000110,0.003427,0.002465,0.003096,0.004330,0.002324,0.003452,0.004006,0.002809,0.002863,0.002662,0.002866,0.002936,0.003363,0.003150,0.002815,0.002655,0.001109
